Rank,State,Population
1,California,"39,538,223"
2,Texas,"29,145,505"
3,Florida,"21,538,187"
4,New York,"20,201,249"
5,Pennsylvania,"13,002,700"
6,Illinois,"12,812,508"
7,Ohio,"11,799,448"
8,Georgia,"10,711,908"
9,North Carolina,"10,439,388"
10,Michigan,"10,077,331"
11,New Jersey,"9,288,994"
12,Virginia,"8,631,393"
13,Washington,"7,705,281"
14,Arizona,"7,151,502"
15,Massachusetts,"7,029,917"
16,Tennessee,"6,910,840"
17,Indiana,"6,785,528"
18,Maryland,"6,177,224"
19,Missouri,"6,154,913"
20,Wisconsin,"5,893,718"
21,Colorado,"5,773,714"
22,Minnesota,"5,706,494"
23,South Carolina,"5,118,425"
24,Alabama,"5,024,279"
25,Louisiana,"4,657,757"
26,Kentucky,"4,505,836"
27,Oregon,"4,237,256"
28,Oklahoma,"3,959,353"
29,Connecticut,"3,605,944"
30,Utah,"3,271,616"
31,Iowa,"3,190,369"
32,Nevada,"3,104,614"
33,Arkansas,"3,011,524"
34,Mississippi,"2,961,279"
35,Kansas,"2,937,880"
36,New Mexico,"2,117,522"
37,Nebraska,"1,961,504"
38,Idaho,"1,839,106"
39,West Virginia,"1,793,716"
40,Hawaii,"1,455,271"
41,New Hampshire,"1,377,529"
42,Maine,"1,362,359"
43,Rhode Island,"1,097,379"
44,Montana,"1,084,225"
45,Delaware,"989,948"
46,South Dakota,"886,667"
47,North Dakota,"779,094"
48,Alaska,"733,391"
â€”,District of Columbia,"689,545"
49,Vermont,"643,077"
50,Wyoming,"576,851"